구분,총계,2021년이전,2021년,2022년,2023년
종로구,2031 ,1424 ,82 ,225 ,300 
중구,2718 ,2027 ,419 ,137 ,135 
용산구,3258 ,1867 ,486 ,500 ,405 
성동구,4409 ,3339 ,366 ,233 ,471 
광진구,3828 ,2475 ,740 ,273 ,340 
동대문구,3268 ,2140 ,226 ,317 ,585 
중랑구,4512 ,3067 ,507 ,294 ,644 
성북구,4578 ,3384 ,418 ,355 ,421 
강북구,3331 ,2226 ,298 ,797 ,10 
도봉구,2378 ,608 ,552 ,557 ,661 
노원구,3006 ,1995 ,213 ,161 ,637 
은평구,5027 ,3639 ,520 ,481 ,387 
서대문구,3793 ,2940 ,331 ,174 ,348 
마포구,3155 ,2231 ,177 ,124 ,623 
양천구,4447 ,2704 ,347 ,386 ,1010 
강서구,3546 ,2156 ,441 ,596 ,353 
구로구,5003 ,3501 ,685 ,339 ,478 
금천구,3169 ,1837 ,207 ,304 ,821 
영등포구,4566 ,3758 ,283 ,341 ,184 
동작구,3024 ,2217 ,28 ,372 ,407 
관악구,5772 ,4459 ,549 ,135 ,629 
서초구,5395 ,3495 ,565 ,878 ,457 
강남구,7721 ,6182 ,505 ,588 ,446 
송파구,4031 ,2572 ,151 ,431 ,877 
강동구,3549 ,2547 ,262 ,381 ,359 
